
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): April
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,04/02/2014,2349,N128DL,ATL,18:53,18:45,0323 ,-8,18:26,0019,0000,0000,0000,0000,0000,
  DL,04/02/2014,2375,N397DA,SLC,12:38,12:21,0121 ,-17,12:16,0005,0000,0000,0000,0000,0000,
  DL,04/03/2014,0241,N816DN,ATL,20:47,21:08,0317 ,21,20:57,0011,0020,0000,0000,0000,0001,
  DL,04/03/2014,0415,N713TW,JFK,20:00,19:56,0405 ,-4,19:52,0004,0000,0000,0000,0000,0000,
  DL,04/03/2014,0431,N703TW,JFK,13:35,14:49,0395 ,74,14:41,0008,0074,0000,0000,0000,0000,
  DL,04/03/2014,0432,N706TW,JFK,16:29,16:21,0389 ,-8,16:15,0006,0000,0000,0000,0000,0000,
  DL,04/03/2014,0434,N722TW,JFK,21:40,21:38,0401 ,-2,21:33,0005,0000,0000,0000,0000,0000,
  DL,04/03/2014,0435,N709TW,JFK,22:59,23:10,0404 ,11,22:55,0015,0000,0000,0000,0000,0000,
  DL,04/03/2014,0469,N705TW,JFK,10:34,10:38,0394 ,4,10:32,0006,0000,0000,0000,0000,0000,
  DL,04/03/2014,0745,N813DN,DTW,10:52,10:22,0318 ,-30,10:18,0004,0000,0000,0000,0000,0000,
  DL,04/03/2014,1145,N834MH,DTW,17:58,17:59,0318 ,1,17:53,0006,0000,0000,0000,0000,0000,
  DL,04/03/2014,1151,N383DN,MSP,17:19,17:36,0244 ,17,17:30,0006,0000,0000,0017,0000,0000,
  DL,04/03/2014,1152,N706TW,HNL,06:14,06:24,0309 ,10,06:19,0005,0000,0000,0000,0000,0000,
  DL,04/03/2014,1355,N124DE,ATL,16:55,16:48,0320 ,-7,16:43,0005,0000,0000,0000,0000,0000,
  DL,04/03/2014,1505,N314US,MSP,21:57,23:09,0247 ,72,23:00,0009,0011,0000,0061,0000,0000,
  DL,04/03/2014,1680,N67171,ATL,12:25,12:16,0320 ,-9,12:09,0007,0000,0000,0000,0000,0000,
  DL,04/03/2014,1800,N6716C,DTW,14:16,14:25,0316 ,9,14:20,0005,0000,0000,0000,0000,0000,
  DL,04/03/2014,1894,N376NW,CVG,11:20,11:29,0300 ,9,11:25,0004,0000,0000,0000,0000,0000,
  DL,04/03/2014,1988,N125DL,DTW,22:24,22:49,0318 ,25,22:40,0009,0002,0000,0000,0000,0023,
  DL,04/03/2014,2023,N618DL,MSP,13:22,14:31,0247 ,69,14:23,0008,0069,0000,0000,0000,0000,
  DL,04/03/2014,2049,N817DN,ATL,10:29,10:14,0319 ,-15,10:12,0002,0000,0000,0000,0000,0000,
  DL,04/03/2014,2209,N662DN,MSP,19:44,20:40,0249 ,56,20:34,0006,0026,0000,0030,0000,0000,
  DL,04/03/2014,2265,N806DN,ATL,22:46,23:41,0319 ,55,23:17,0024,0002,0000,0026,0000,0027,
  DL,04/03/2014,2305,N378NW,MSP,11:28,11:15,0253 ,-13,11:11,0004,0000,0000,0000,0000,0000,
  DL,04/03/2014,2349,N129DL,ATL,18:53,20:14,0323 ,81,20:06,0008,0080,0000,0001,0000,0000,
  DL,04/03/2014,2375,N397DA,SLC,12:38,12:26,0121 ,-12,12:21,0005,0000,0000,0000,0000,0000,
  DL,04/04/2014,0241,N806DN,ATL,20:47,20:46,0317 ,-1,20:41,0005,0000,0000,0000,0000,0000,
  DL,04/04/2014,0415,N712TW,JFK,20:00,19:37,0405 ,-23,19:30,0007,0000,0000,0000,0000,0000,
  DL,04/04/2014,0431,N710TW,JFK,13:35,13:46,0395 ,11,13:39,0007,0000,0000,0000,0000,0000,
  DL,04/04/2014,0432,N624AG,JFK,16:29,16:54,0389 ,25,16:47,0007,0000,0000,0025,0000,0000,
  DL,04/04/2014,0434,N706TW,JFK,21:40,21:56,0401 ,16,21:46,0010,0005,0000,0004,0000,0007,
  DL,04/04/2014,0435,N718TW,JFK,22:59,23:40,0404 ,41,23:23,0017,0000,0000,0000,0000,0041,
  DL,04/04/2014,0469,N704X ,JFK,10:34,10:17,0394 ,-17,10:10,0007,0000,0000,0000,0000,0000,
  DL,04/04/2014,0745,N818DA,DTW,10:52,10:51,0318 ,-1,10:46,0005,0000,0000,0000,0000,0000,
  DL,04/04/2014,1145,N124DE,DTW,17:58,17:42,0318 ,-16,17:35,0007,0000,0000,0000,0000,0000,
  DL,04/04/2014,1151,N375DA,MSP,17:19,17:11,0244 ,-8,17:08,0003,0000,0000,0000,0000,0000,
  DL,04/04/2014,1152,N624AG,HNL,06:14,06:13,0309 ,-1,06:07,0006,0000,0000,0000,0000,0000,
  DL,04/04/2014,1355,N137DL,ATL,16:55,21:26,0320 ,271,21:09,0017,0262,0000,0009,0000,0000,
  DL,04/04/2014,1505,N355NW,MSP,21:57,21:49,0247 ,-8,21:42,0007,0000,0000,0000,0000,0000,
  DL,04/04/2014,1680,N6705Y,ATL,12:25,12:22,0320 ,-3,12:11,0011,0000,0000,0000,0000,0000,
  DL,04/04/2014,1800,N689DL,DTW,14:16,14:07,0316 ,-9,14:02,0005,0000,0000,0000,0000,0000,
  DL,04/04/2014,1894,N323US,CVG,11:20,11:10,0300 ,-10,11:05,0005,0000,0000,0000,0000,0000,
  DL,04/04/2014,1988,N121DE,DTW,22:24,22:32,0318 ,8,22:20,0012,0000,0000,0000,0000,0000,
  DL,04/04/2014,2023,N694DL,MSP,13:22,13:26,0247 ,4,13:20,0006,0000,0000,0000,0000,0000,
  DL,04/04/2014,2049,N809DN,ATL,10:29,10:22,0319 ,-7,10:18,0004,0000,0000,0000,0000,0000,
  DL,04/04/2014,2209,N662DN,MSP,19:44,19:39,0249 ,-5,19:35,0004,0000,0000,0000,0000,0000,
  DL,04/04/2014,2265,N802DN,ATL,22:46,22:39,0319 ,-7,22:34,0005,0000,0000,0000,0000,0000,
  DL,04/04/2014,2305,N336NW,MSP,11:28,11:48,0253 ,20,11:40,0008,0000,0000,0020,0000,0000,
  DL,04/04/2014,2349,N827MH,ATL,18:53,18:43,0323 ,-10,18:38,0005,0000,0000,0000,0000,0000,
  DL,04/04/2014,2375,N397DA,SLC,12:38,13:06,0121 ,28,13:03,0003,0000,0000,0022,0000,0006,
  DL,04/05/2014,0241,N139DL,ATL,20:46,21:04,0316 ,18,20:58,0006,0000,0000,0018,0000,0000,
  DL,04/05/2014,0415,N702TW,JFK,19:56,19:29,0401 ,-27,19:23,0006,0000,0000,0000,0000,0000,
  DL,04/05/2014,0431,N723TW,JFK,13:31,13:31,0391 ,0,13:24,0007,0000,0000,0000,0000,0000,
  DL,04/05/2014,0435,N704X ,JFK,22:57,22:48,0402 ,-9,22:41,0007,0000,0000,0000,0000,0000,
  DL,04/05/2014,0469,N711ZX,JFK,10:31,10:17,0391 ,-14,10:11,0006,0000,0000,0000,0000,0000,
  DL,04/05/2014,0745,N804DN,DTW,10:48,10:37,0314 ,-11,10:31,0006,0000,0000,0000,0000,0000,
  DL,04/05/2014,1145,N121DE,DTW,17:55,17:28,0315 ,-27,17:20,0008,0000,0000,0000,0000,0000,
  DL,04/05/2014,1151,N385DN,MSP,17:16,17:04,0241 ,-12,17:00,0004,0000,0000,0000,0000,0000,
  DL,04/05/2014,1152,N723TW,HNL,05:11,04:53,0306 ,-18,04:47,0006,0000,0000,0000,0000,0000,
  DL,04/05/2014,1355,N809DN,ATL,16:15,16:01,0315 ,-14,15:57,0004,0000,0000,0000,0000,0000,
  DL,04/05/2014,1680,N6706Q,ATL,12:21,12:08,0316 ,-13,12:02,0006,0000,0000,0000,0000,0000,
  DL,04/05/2014,1988,N129DL,DTW,22:21,22:13,0315 ,-8,21:47,0026,0000,0000,0000,0000,0000,
  DL,04/05/2014,2023,N6702 ,MSP,13:19,13:00,0244 ,-19,12:54,0006,0000,0000,0000,0000,0000,
  DL,04/05/2014,2049,N807DN,ATL,10:27,11:00,0317 ,33,10:53,0007,0033,0000,0000,0000,0000,
  DL,04/05/2014,2209,N676DL,MSP,19:41,19:23,0246 ,-18,19:16,0007,0000,0000,0000,0000,0000,
  DL,04/05/2014,2265,N812DN,ATL,22:45,22:37,0318 ,-8,22:21,0016,0000,0000,0000,0000,0000,
  DL,04/05/2014,2305,N375NC,MSP,11:27,11:05,0252 ,-22,11:01,0004,0000,0000,0000,0000,0000,
  DL,04/05/2014,2349,N126DL,ATL,18:50,18:49,0320 ,-1,18:44,0005,0000,0000,0000,0000,0000,
  DL,04/05/2014,2375,N371DA,SLC,12:35,12:18,0118 ,-17,12:13,0005,0000,0000,0000,0000,0000,
  DL,04/06/2014,0241,N806DN,ATL,20:47,20:25,0317 ,-22,20:20,0005,0000,0000,0000,0000,0000,
  DL,04/06/2014,0415,N707TW,JFK,20:00,19:57,0405 ,-3,19:39,0018,0000,0000,0000,0000,0000,
  DL,04/06/2014,0431,N1602 ,JFK,13:35,13:17,0395 ,-18,13:08,0009,0000,0000,0000,0000,0000,
  DL,04/06/2014,0432,N709TW,JFK,16:29,16:05,0389 ,-24,15:58,0007,0000,0000,0000,0000,0000,
  DL,04/06/2014,0434,N711ZX,JFK,21:40,21:31,0401 ,-9,21:24,0007,0000,0000,0000,0000,0000,
  DL,04/06/2014,0435,N713TW,JFK,22:59,23:13,0404 ,14,22:50,0023,0000,0000,0000,0000,0000,
  DL,04/06/2014,0745,N813DN,DTW,10:52,10:45,0318 ,-7,10:39,0006,0000,0000,0000,0000,0000,
  DL,04/06/2014,1145,N126DL,DTW,17:58,17:35,0318 ,-23,17:29,0006,0000,0000,0000,0000,0000,
  DL,04/06/2014,1151,N391DA,MSP,17:19,17:01,0244 ,-18,16:57,0004,0000,0000,0000,0000,0000,
  DL,04/06/2014,1152,N709TW,HNL,06:14,06:39,0309 ,25,05:37,0062,0000,0000,0025,0000,0000,
  DL,04/06/2014,1355,N129DL,ATL,16:55,17:06,0320 ,11,16:55,0011,0000,0000,0000,0000,0000,
  DL,04/06/2014,1505,N358NW,MSP,21:57,21:50,0247 ,-7,21:38,0012,0000,0000,0000,0000,0000,
  DL,04/06/2014,1680,N612DL,ATL,12:25,12:35,0320 ,10,12:26,0009,0000,0000,0000,0000,0000,
  DL,04/06/2014,1800,N614DL,DTW,14:16,13:54,0316 ,-22,13:47,0007,0000,0000,0000,0000,0000,
  DL,04/06/2014,1894,N323US,CVG,11:20,10:57,0300 ,-23,10:51,0006,0000,0000,0000,0000,0000,
  DL,04/06/2014,1988,N127DL,DTW,22:24,22:07,0318 ,-17,21:58,0009,0000,0000,0000,0000,0000,
  DL,04/06/2014,2023,N6705Y,MSP,13:22,12:57,0247 ,-25,12:51,0006,0000,0000,0000,0000,0000,
  DL,04/06/2014,2049,N803DN,ATL,10:29,10:18,0319 ,-11,10:14,0004,0000,0000,0000,0000,0000,
  DL,04/06/2014,2209,N616DL,MSP,19:44,19:27,0249 ,-17,19:22,0005,0000,0000,0000,0000,0000,
  DL,04/06/2014,2265,N807DN,ATL,22:46,22:45,0319 ,-1,22:38,0007,0000,0000,0000,0000,0000,
  DL,04/06/2014,2305,N313US,MSP,11:28,11:01,0253 ,-27,10:57,0004,0000,0000,0000,0000,0000,
  DL,04/06/2014,2349,N138DL,ATL,18:53,18:24,0323 ,-29,18:18,0006,0000,0000,0000,0000,0000,
  DL,04/06/2014,2375,N802DN,SLC,12:39,12:29,0121 ,-10,12:22,0007,0000,0000,0000,0000,0000,
  DL,04/07/2014,0241,N808DN,ATL,20:47,20:41,0317 ,-6,20:36,0005,0000,0000,0000,0000,0000,
  DL,04/07/2014,0415,N702TW,JFK,20:00,19:22,0405 ,-38,19:12,0010,0000,0000,0000,0000,0000,
  DL,04/07/2014,0431,N1602 ,JFK,13:35,13:09,0395 ,-26,13:01,0008,0000,0000,0000,0000,0000,
  DL,04/07/2014,0432,N624AG,JFK,16:29,16:11,0389 ,-18,16:02,0009,0000,0000,0000,0000,0000,
  DL,04/07/2014,0435,N722TW,JFK,22:59,23:21,0404 ,22,23:15,0006,0001,0000,0000,0000,0021,
  DL,04/07/2014,0469,N727TW,JFK,10:34,10:11,0394 ,-23,10:05,0006,0000,0000,0000,0000,0000,
  DL,04/07/2014,0745,N818DA,DTW,10:52,10:29,0318 ,-23,10:23,0006,0000,0000,0000,0000,0000,
  DL,04/07/2014,1145,N129DL,DTW,17:58,18:25,0318 ,27,18:19,0006,0002,0000,0000,0000,0025,
  DL,04/07/2014,1151,N3751B,MSP,17:19,16:54,0244 ,-25,16:47,0007,0000,0000,0000,0000,0000,
  DL,04/07/2014,1152,N624AG,HNL,06:14,06:19,0309 ,5,06:07,0012,0000,0000,0000,0000,0000,
  DL,04/07/2014,1355,N126DL,ATL,16:55,17:30,0320 ,35,17:24,0006,0000,0000,0000,0000,0035,
  DL,04/07/2014,1505,N376NW,MSP,21:57,21:24,0247 ,-33,21:19,0005,0000,0000,0000,0000,0000,
  DL,04/07/2014,1680,N6709 ,ATL,12:25,12:13,0320 ,-12,12:08,0005,0000,0000,0000,0000,0000,
  DL,04/07/2014,1800,N615DL,DTW,14:16,13:40,0316 ,-36,13:33,0007,0000,0000,0000,0000,0000,
  DL,04/07/2014,1894,N363NW,CVG,11:20,10:56,0300 ,-24,10:52,0004,0000,0000,0000,0000,0000,
  DL,04/07/2014,1988,N581NW,DTW,22:24,23:43,0318 ,79,23:38,0005,0079,0000,0000,0000,0000,
  DL,04/07/2014,2023,N614DL,MSP,13:22,12:54,0247 ,-28,12:48,0006,0000,0000,0000,0000,0000,
  DL,04/07/2014,2049,N803DN,ATL,10:29,10:37,0319 ,8,10:30,0007,0000,0000,0000,0000,0000,
  DL,04/07/2014,2209,N667DN,MSP,19:44,19:03,0249 ,-41,18:57,0006,0000,0000,0000,0000,0000,
