
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): August
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,08/02/2015,0177,N784AA,JFK,21:43,21:14,-29,0000,0000,0000,0000,0000,
  AA,08/02/2015,0179,N785AA,JFK,13:50,13:22,-28,0000,0000,0000,0000,0000,
  AA,08/02/2015,0193,N3GFAA,ORD,14:53,18:56,243,0139,0104,0000,0000,0000,
  AA,08/02/2015,0209,N3GKAA,LAX,18:01,18:02,1,0000,0000,0000,0000,0000,
  AA,08/02/2015,0218,N3MNAA,LAX,20:09,19:45,-24,0000,0000,0000,0000,0000,
  AA,08/02/2015,0241,N3LFAA,ORD,16:41,16:34,-7,0000,0000,0000,0000,0000,
  AA,08/02/2015,0249,N3DUAA,DFW,17:33,17:05,-28,0000,0000,0000,0000,0000,
  AA,08/02/2015,0259,N3BNAA,DFW,12:50,12:41,-9,0000,0000,0000,0000,0000,
  AA,08/02/2015,0330,N3HLAA,DFW,15:54,15:38,-16,0000,0000,0000,0000,0000,
  AA,08/02/2015,0403,N660AW,PHX,09:53,09:58,5,0000,0000,0000,0000,0000,
  AA,08/02/2015,0407,N587UW,PHX,15:59,15:35,-24,0000,0000,0000,0000,0000,
  AA,08/02/2015,0433,N183UW,PHX,12:29,13:31,62,0000,0000,0062,0000,0000,
  AA,08/02/2015,0436,N187US,PHX,22:20,22:22,2,0000,0000,0000,0000,0000,
  AA,08/02/2015,0461,N161UW,CLT,11:57,11:52,-5,0000,0000,0000,0000,0000,
  AA,08/02/2015,0473,N655AW,PHL,11:00,10:46,-14,0000,0000,0000,0000,0000,
  AA,08/02/2015,0475,N586UW,CLT,22:23,00:42,139,0137,0000,0002,0000,0000,
  AA,08/02/2015,0490,N535UW,PHL,23:56,23:48,-8,0000,0000,0000,0000,0000,
  AA,08/02/2015,0557,N584UW,CLT,00:29,03:10,161,0161,0000,0000,0000,0000,
  AA,08/02/2015,0590,N925UY,PHX,00:49,00:33,-16,0000,0000,0000,0000,0000,
  AA,08/02/2015,0662,N171US,CLT,09:53,09:41,-12,0000,0000,0000,0000,0000,
  AA,08/02/2015,0672,N520UW,PHL,13:26,13:29,3,0000,0000,0000,0000,0000,
  AA,08/02/2015,0686,N901AW,PHX,19:06,19:02,-4,0000,0000,0000,0000,0000,
  AA,08/02/2015,0709,N170US,PHL,19:22,18:44,-38,0000,0000,0000,0000,0000,
  AA,08/02/2015,0719,N154UW,PHL,21:16,21:47,31,0005,0000,0000,0000,0026,
  AA,08/02/2015,1130,N5CEAA,MIA,16:58,17:28,30,0030,0000,0000,0000,0000,
  AA,08/02/2015,1145,N3LTAA,ORD,10:02,00:00,0,0000,0000,0000,0000,0000,
  AA,08/02/2015,1183,N868AA,DFW,22:15,21:52,-23,0000,0000,0000,0000,0000,
  AA,08/02/2015,1203,N5DGAA,LAX,13:33,13:24,-9,0000,0000,0000,0000,0000,
  AA,08/02/2015,1226,N3EFAA,LAX,21:50,21:46,-4,0000,0000,0000,0000,0000,
  AA,08/02/2015,1273,N3CWAA,DFW,23:46,23:26,-20,0000,0000,0000,0000,0000,
  AA,08/02/2015,1294,N5DGAA,LAX,08:18,08:32,14,0000,0000,0000,0000,0000,
  AA,08/02/2015,1393,N853AA,DFW,20:46,20:21,-25,0000,0000,0000,0000,0000,
  AA,08/02/2015,1615,N3FTAA,ORD,22:58,00:00,0,0000,0000,0000,0000,0000,
  AA,08/02/2015,1624,N3AVAA,ORD,19:56,21:31,95,0000,0014,0004,0000,0077,
  AA,08/02/2015,1799,N921US,CLT,20:33,20:15,-18,0000,0000,0000,0000,0000,
  AA,08/02/2015,2029,N915US,CLT,19:05,19:21,16,0003,0000,0000,0000,0013,
  AA,08/02/2015,2207,N857AA,DFW,10:54,11:03,9,0000,0000,0000,0000,0000,
  AA,08/02/2015,2356,N3GMAA,ORD,12:40,12:31,-9,0000,0000,0000,0000,0000,
  AA,08/02/2015,2411,N3CLAA,MIA,22:54,22:40,-14,0000,0000,0000,0000,0000,
  AA,08/02/2015,2438,N856AA,LAX,11:53,11:48,-5,0000,0000,0000,0000,0000,
  AA,08/02/2015,2475,N3CYAA,ORD,18:12,19:52,100,0000,0100,0000,0000,0000,
  AA,08/03/2015,0037,N3BCAA,DFW,18:50,18:44,-6,0000,0000,0000,0000,0000,
  AA,08/03/2015,0082,N3APAA,DFW,13:50,13:37,-13,0000,0000,0000,0000,0000,
  AA,08/03/2015,0085,N787AA,JFK,19:15,18:57,-18,0000,0000,0000,0000,0000,
  AA,08/03/2015,0159,N5ENAA,DFW,09:14,09:45,31,0031,0000,0000,0000,0000,
  AA,08/03/2015,0163,N797AA,JFK,23:39,23:25,-14,0000,0000,0000,0000,0000,
  AA,08/03/2015,0167,N3FGAA,MIA,10:13,10:46,33,0033,0000,0000,0000,0000,
  AA,08/03/2015,0177,N793AA,JFK,21:44,21:33,-11,0000,0000,0000,0000,0000,
  AA,08/03/2015,0179,N788AA,JFK,13:50,13:42,-8,0000,0000,0000,0000,0000,
