
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): June
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,06/02/2015,1371,N3MCAA,DFW,15:54,15:32,-22,0000,0000,0000,0000,0000,
  AA,06/02/2015,1377,N3BSAA,DFW,17:41,17:21,-20,0000,0000,0000,0000,0000,
  AA,06/02/2015,1393,N3KWAA,DFW,21:01,20:44,-17,0000,0000,0000,0000,0000,
  AA,06/02/2015,1624,N3JWAA,ORD,19:56,20:32,36,0028,0000,0000,0000,0008,
  AA,06/02/2015,2317,N3FEAA,DFW,11:02,10:52,-10,0000,0000,0000,0000,0000,
  AA,06/02/2015,2352,N3AUAA,ORD,15:27,15:36,9,0000,0000,0000,0000,0000,
  AA,06/02/2015,2356,N3EGAA,ORD,13:14,12:57,-17,0000,0000,0000,0000,0000,
  AA,06/02/2015,2438,N3EYAA,LAX,11:43,11:45,2,0000,0000,0000,0000,0000,
  AA,06/02/2015,2448,N3DJAA,MIA,23:21,00:37,76,0070,0000,0000,0000,0006,
  AA,06/02/2015,2465,N3ECAA,LAX,21:54,21:45,-9,0000,0000,0000,0000,0000,
  AA,06/03/2015,0015,N789AA,JFK,11:30,11:24,-6,0000,0000,0000,0000,0000,
  AA,06/03/2015,0037,N858AA,DFW,19:13,19:05,-8,0000,0000,0000,0000,0000,
  AA,06/03/2015,0085,N786AA,JFK,19:13,18:47,-26,0000,0000,0000,0000,0000,
  AA,06/03/2015,0159,N3LJAA,DFW,09:06,08:47,-19,0000,0000,0000,0000,0000,
  AA,06/03/2015,0163,N799AA,JFK,23:36,23:15,-21,0000,0000,0000,0000,0000,
  AA,06/03/2015,0167,N3JHAA,MIA,10:47,11:33,46,0046,0000,0000,0000,0000,
  AA,06/03/2015,0177,N796AA,JFK,21:42,21:20,-22,0000,0000,0000,0000,0000,
  AA,06/03/2015,0179,N784AA,JFK,14:00,14:48,48,0048,0000,0000,0000,0000,
  AA,06/03/2015,0193,N3DVAA,DFW,14:17,14:02,-15,0000,0000,0000,0000,0000,
  AA,06/03/2015,0197,N3AEAA,ORD,23:00,23:09,9,0000,0000,0000,0000,0000,
